Latitude,Longitude,Status Code,Access Code
34.1413124983078,-116.216564667475,E,public
48.514381,-122.616919,E,public
29.724617,-95.492792,E,public
42.9197812944013,-83.9845329811662,E,public
44.192035,-79.698438,E,public
37.442587,-122.162068,E,public
40.447372,-75.95966,E,public
34.1751571,-84.7644005,E,public
40.753601,-73.899806,E,public
43.669611,-79.38841,E,public
54.265423,-110.73713,E,public
43.646458,-79.380032,E,public
40.003533,-104.996928,E,public
43.778623,-88.461093,E,public
33.818094,-118.142688,E,public
46.791288,-71.244907,E,public
33.673665,-117.777,E,public
42.2963503161792,-85.5755683051784,E,public
42.392786,-72.519908,E,public
49.498289,-115.081048,E,public
36.57554178,-119.6300781,E,public
34.11809,-117.825541,E,public
33.424637,-112.22164,E,public
29.597106,-95.451748,E,public
32.88052,-111.68335,E,public
51.044004,-114.075438,E,public
34.142132,-118.341782,E,public
41.070215,-85.195577,E,public
35.608938,-91.251503,E,public
27.704683,-97.36507,E,public
38.916565,-78.0641,E,public
28.387882381880512,-81.48453100510777,E,public
49.150226,-122.666785,E,public
40.064403,-76.711191,E,public
43.93653577,-75.92932781,E,public
41.38741794,-93.55728511,E,public
39.574092,-104.877168,E,public
26.614637260911703,-80.14889988175831,E,public
41.663181,-93.509527,E,public
43.33627482,-89.3721407,E,public
32.526327,-86.210281,E,public
40.13663334,-88.25556936,E,public
39.033211,-77.394788,E,public
37.251894,-93.2663,E,public
43.852496,-69.733408,E,public
45.859803,-72.061746,E,public
42.92662381,-88.04863068,E,public
27.733109,-82.746555,E,public
43.79280558,-79.2372739,E,public
37.681294,-121.876033,E,public
19.6744242,-156.012278,E,public
30.329309,-86.165264,E,public
36.356781,-119.299535,E,public
39.475614,-107.271314,E,public
41.418689,-71.652127,E,public
35.164495,-106.585402,E,public
42.499074,-71.123251,E,public
43.134846,-93.35868,E,public
58.84865719999999,-125.2405857,E,public
45.028451,-75.640112,E,public
35.156508,-80.798824,E,public
33.920916,-84.33779,E,public
40.8765203,-74.04213876,E,public
47.045381,-122.821566,E,public
44.275086,-88.326759,E,public
37.678468,-121.876853,E,public
49.89495873,-97.03990153,E,public
39.28263509704339,-76.60169517788214,E,public
35.8518017,-94.9901655,E,public
39.974877,-86.148347,E,public
39.272565,-123.789611,E,public
37.65439917,-122.41022585,E,public
51.06453531,-114.20888251,E,public
36.652499,-121.790988,E,public
33.756426,-117.98557,E,public
32.752516,-117.202551,E,public
44.975012,-93.265344,E,public
29.718323,-95.336269,E,public
39.539658,-119.720773,E,public
43.656315,-70.25401,E,public
46.250491,-63.110739,E,public
35.992715,-78.902072,E,public
33.829936,-84.338579,E,public
37.787932,-122.407568,E,public
33.62198,-117.931564,E,public
43.789101,-79.26844,E,public
37.439946,-77.041496,E,public
39.19905,-76.683952,E,public
38.994813,-77.023436,E,public
32.831257,-97.062684,E,public
35.241055,-80.836321,E,public
33.678173,-117.877296,E,public
34.051355,-118.257042,E,public
37.365168,-121.914236,E,public
33.815039,-117.926838,E,public
25.806385,-80.334981,E,public
33.98811,-118.385685,E,public
43.464447,-80.524797,E,public
32.732495,-97.1083,E,public
26.30482,-80.27775,E,public
33.897458,-117.564028,E,public
37.235102,-107.825725,E,public
38.913757,-94.672096,E,public
41.745053,-71.439124,E,public
42.129078,-88.135692,E,public
32.65965,-117.074379,E,public
37.536663,-122.258014,E,public
33.767492,-118.193282,E,public
37.652096,-122.382766,E,public
37.425192,-122.198468,E,public
38.527887,-122.781432,E,public
47.605226,-122.548468,E,public
39.567379,-104.861209,E,public
34.065725,-118.410688,E,public
42.565621,-83.50115,E,public
44.30522621543749,-90.8448393214264,E,public
29.7883884,-95.6810503,E,public
42.267235,-85.664664,E,public
33.96507,-84.12461,E,public
30.329967,-81.67324,E,public
33.301264,-111.843228,E,public
33.801738,-117.90852,E,public
37.983934,-122.032408,E,public
33.813008,-117.927316,E,public
37.366857,-121.873577,E,public
37.696612,-121.818421,E,public
40.121104,-74.976767,E,public
32.781658,-96.79175,E,public
40.792194,-73.92455,E,public
33.976097,-117.473581,E,public
39.286322,-76.625156,E,public
45.71087,-121.509224,E,public
42.622227,-71.37576,E,public
37.337384,-121.901045,E,public
33.969773,-118.415504,E,public
33.826239,-116.542116,E,public
37.809749,-122.244723,E,public
34.096114,-117.716677,E,public
45.048839,-122.976134,E,public
38.973048,-94.709888,E,public
39.082677,-94.571948,E,public
34.145607,-118.76921,E,public
34.029347,-118.025269,E,public
